Price,Open,Close
Ticker,AAPL,AAPL
Date,,
2025-05-05,202.83402512431957,198.62953186035156
2025-05-06,197.9504203457911,198.25001525878906
2025-05-07,198.90915494694545,195.99298095703125
2025-05-08,197.46106353953903,197.2313690185547
2025-05-09,198.739389980464,198.27000427246094
2025-05-12,210.97000122070312,210.7899932861328
2025-05-13,210.42999267578125,212.92999267578125
2025-05-14,212.42999267578125,212.3300018310547
2025-05-15,210.9499969482422,211.4499969482422
2025-05-16,212.36000061035156,211.25999450683594
2025-05-19,207.91000366210938,208.77999877929688
2025-05-20,207.6699981689453,206.86000061035156
2025-05-21,205.1699981689453,202.08999633789062
2025-05-22,200.7100067138672,201.36000061035156
2025-05-23,193.6699981689453,195.27000427246094
2025-05-27,198.3000030517578,200.2100067138672
2025-05-28,200.58999633789062,200.4199981689453
2025-05-29,203.5800018310547,199.9499969482422
2025-05-30,199.3699951171875,200.85000610351562
2025-06-02,200.27999877929688,201.6999969482422
2025-06-03,201.35000610351562,203.27000427246094
